        x              y       Side   Disk   Ring   Module
      -0.0311388   8.88235      1      9      1      6
      -0.323036    10.6809      1      9      1      6
      0.220683     7.14441      1      9      1      6
      0.104465     7.62665      1      9      1      6
      0.124951     7.30553      1      9      1      6
      0.191576       6.789      1      9      1      6
      -0.183624    8.72643      1      9      1      6
      -0.121807    8.21926      1      9      1      6
      0.0946128    6.79391      1      9      1      6
      -0.100234    7.03448      1      9      1      6
      -0.268003    7.50684      1      9      1      6
      -0.22602      7.0444      1      9      1      6
      -0.739533    10.1081      1      9      1      6
      -0.220304    6.78458      1      9      1      6
      -0.180956    6.50418      1      9      1      6
      -0.747429    9.88389      1      9      1      6
      -0.664377    8.84287      1      9      1      6
      -0.798636    9.59197      1      9      1      6
      -0.891322    9.11946      1      9      1      6
      -0.970061      9.281      1      9      1      6
      -1.19843     10.1312      1      9      1      6
      -0.634641    6.36418      1      9      1      6
      -1.27741      10.023      1      9      1      6
      -0.697092    6.26307      1      9      1      6
      -0.898461    7.51848      1      9      1      6
      -1.0183      7.21569      1      9      1      6
      -1.55259     10.4659      1      9      1      6
      -1.37109     9.22762      1      9      1      6
      -1.44862     9.68161      1      9      1      6
      -1.17884     7.94634      1      9      1      6
      -1.45571     9.53858      1      9      1      6
      -1.08873     7.12165      1      9      1      6
      -0.996462    6.29674      1      9      1      6
      -1.10565      6.86095      1      9      1      6
      -1.26996      6.58792      1      9      1      6
      -1.25972      6.42736      1      9      1      6
      -1.46107      6.85161      1      9      1      6
      -1.47406      6.88316      1      9      1      6
      -1.41245      6.41683      1      9      1      6
      -2.09697      10.3391      1      9      1      6
      -1.78097      8.34404      1      9      1      6
      -1.76946      8.19144      1      9      1      6
      -1.76029      7.68607      1      9      1      6
      -2.04424      9.41495      1      9      1      6
      -2.26468      10.1339      1      9      1      6
      -1.97947      8.35076      1      9      1      6
      -1.84556      7.29752      1      9      1      6
      -1.81836      7.01396      1      9      1      6
      -2.04155      8.32722      1      9      1      6
      -1.75766      6.24713      1      9      1      6
      -1.93017      7.30439      1      9      1      6
      -2.14395      8.44635      1      9      1      6
      -2.08104      7.91402      1      9      1      6
      -2.37095      9.60223      1      9      1      6
      -2.47294      9.90455      1      9      1      6
      -2.11159      7.46825      1      9      1      6
      -2.54861      8.93975      1      9      1      6
      -2.18066      6.49436      1      9      1      6
